Msg::1::78.7717::void  Msg() {
Msg::2::408.1648::	MessageBoxA(NULL, "嘿嘿！", "堆栈溢出测试", 0);
Msg::3::10.4084::}
Add::1::139.8650::int  Add(int a, int b) {
Add::2::95.6055::	int* p = &a;
Add::3::150.6759::	*(p-1) = (int)Msg;
Add::4::69.2367::	return a + b;
Add::5::10.2770::}
main::1::54.6297::void main() {
main::2::138.8641::	printf("%d", Add(1, 2));
main::3::59.6045::	system("pause");
main::4::35.3849::	return;
main::5::10.1404::}
derive_spatial_luma_vector_prediction::1::230.1341::// 8.5.3.1.6
derive_spatial_luma_vector_prediction::2::431.3482::void derive_spatial_luma_vector_prediction(base_context* ctx,
derive_spatial_luma_vector_prediction::3::493.5695::                                           de265_image* img,
derive_spatial_luma_vector_prediction::4::531.9108::                                           const slice_segment_header* shdr,
derive_spatial_luma_vector_prediction::5::689.5804::                                           int xC,int yC,int nCS,int xP,int yP,
derive_spatial_luma_vector_prediction::6::594.9593::                                           int nPbW,int nPbH, int X,
derive_spatial_luma_vector_prediction::7::537.1721::                                           int refIdxLX, int partIdx,
derive_spatial_luma_vector_prediction::8::595.5970::                                           uint8_t out_availableFlagLXN[2],
derive_spatial_luma_vector_prediction::9::544.6716::                                           MotionVector out_mvLXN[2])
derive_spatial_luma_vector_prediction::10::39.6299::{
derive_spatial_luma_vector_prediction::11::301.2087::  if (refIdxLX >= MAX_NUM_REF_PICS) {
derive_spatial_luma_vector_prediction::12::532.1599::    ctx->add_warning(DE265_WARNING_INCORRECT_MOTION_VECTOR_SCALING, false);
derive_spatial_luma_vector_prediction::13::340.5375::    img->integrity = INTEGRITY_DECODING_ERRORS;
derive_spatial_luma_vector_prediction::14::92.1616::    out_availableFlagLXN[0] = false;
derive_spatial_luma_vector_prediction::15::202.5281::    out_availableFlagLXN[1] = false;
derive_spatial_luma_vector_prediction::16::221.1711::    out_mvLXN[0] = MotionVector{};
derive_spatial_luma_vector_prediction::17::217.5882::    out_mvLXN[1] = MotionVector{};
derive_spatial_luma_vector_prediction::18::64.8187::    return;
derive_spatial_luma_vector_prediction::19::34.8934::  }
derive_spatial_luma_vector_prediction::20::144.6198::  int isScaledFlagLX = 0;
derive_spatial_luma_vector_prediction::21::97.8417::  const int A=0;
derive_spatial_luma_vector_prediction::22::97.2986::  const int B=1;
derive_spatial_luma_vector_prediction::23::169.4641::  out_availableFlagLXN[A] = 0;
derive_spatial_luma_vector_prediction::24::170.4811::  out_availableFlagLXN[B] = 0;
derive_spatial_luma_vector_prediction::25::74.3089::  // --- A ---
derive_spatial_luma_vector_prediction::26::61.9744::  // 1.
derive_spatial_luma_vector_prediction::27::155.8167::  int xA[2], yA[2];
derive_spatial_luma_vector_prediction::28::148.9188::  xA[0] = xP-1;
derive_spatial_luma_vector_prediction::29::176.0562::  yA[0] = yP + nPbH;
derive_spatial_luma_vector_prediction::30::153.7812::  xA[1] = xA[0];
derive_spatial_luma_vector_prediction::31::177.5799::  yA[1] = yA[0]-1;
derive_spatial_luma_vector_prediction::32::59.3073::  // 2.
derive_spatial_luma_vector_prediction::33::168.2144::  out_availableFlagLXN[A] = 0;
derive_spatial_luma_vector_prediction::34::180.2883::  out_mvLXN[A].x = 0;
derive_spatial_luma_vector_prediction::35::185.5391::  out_mvLXN[A].y = 0;
derive_spatial_luma_vector_prediction::36::97.2497::  // 3. / 4.
derive_spatial_luma_vector_prediction::37::99.0050::  bool availableA[2];
derive_spatial_luma_vector_prediction::38::644.4591::  availableA[0] = img->available_pred_blk(xC,yC, nCS, xP,yP, nPbW,nPbH,partIdx, xA[0],yA[0]);
